Tiempo,Direccion de viento media vectorial,Direccion de viento media escalar,Direccion de rafaga
2026-04-17 16:30:00,101.2000,98.0000,108.1000
2026-04-17 16:40:00,116.2000,121.6000,100.9000
2026-04-17 16:50:00,104.1000,105.2000,95.5000
2026-04-17 17:00:00,100.5000,95.5000,101.7000
2026-04-17 17:10:00,103.5000,107.9000,94.2000
2026-04-17 17:20:00,108.9000,113.2000,95.8000
2026-04-17 17:30:00,103.1000,105.0000,100.3000
2026-04-17 17:40:00,97.9000,101.7000,97.9000
2026-04-17 17:50:00,93.4000,91.8000,98.5000
2026-04-17 18:00:00,91.7000,92.7000,91.2000
2026-04-17 18:10:00,79.2000,75.2000,86.8000
2026-04-17 18:20:00,94.9000,95.1000,91.1000
2026-04-17 18:30:00,90.3000,87.7000,95.4000
2026-04-17 18:40:00,89.4000,90.4000,95.7000
2026-04-17 18:50:00,94.9000,92.2000,86.8000
2026-04-17 19:00:00,91.8000,91.5000,98.2000
2026-04-17 19:10:00,98.1000,97.8000,96.4000
2026-04-17 19:20:00,96.5000,101.0000,84.6000
2026-04-17 19:30:00,90.6000,91.5000,96.4000
2026-04-17 19:40:00,96.7000,97.6000,98.0000
2026-04-17 19:50:00,74.0000,76.7000,95.9000
2026-04-17 20:00:00,90.3000,91.0000,96.6000
2026-04-17 20:10:00,85.7000,92.7000,88.9000
2026-04-17 20:20:00,77.2000,74.4000,79.5000
2026-04-17 20:30:00,77.4000,75.8000,96.3000
2026-04-17 20:40:00,73.7000,70.6000,89.9000
2026-04-17 20:50:00,56.0000,57.4000,84.2000
2026-04-17 21:00:00,53.0000,54.1000,57.8000
2026-04-17 21:10:00,58.2000,62.5000,54.7000
2026-04-17 21:20:00,68.5000,68.6000,86.3000
2026-04-17 21:30:00,67.7000,71.7000,82.1000
2026-04-17 21:40:00,79.5000,84.9000,83.0000
2026-04-17 21:50:00,80.3000,80.5000,77.7000
2026-04-17 22:00:00,77.2000,79.8000,85.4000
2026-04-17 22:10:00,83.4000,70.4000,78.8000
2026-04-17 22:20:00,87.0000,85.0000,83.1000
2026-04-17 22:30:00,79.6000,83.0000,82.8000
2026-04-17 22:40:00,89.2000,91.1000,79.6000
2026-04-17 22:50:00,86.4000,87.6000,94.3000
2026-04-17 23:00:00,82.1000,77.4000,93.1000
2026-04-17 23:10:00,88.9000,83.6000,96.5000
2026-04-17 23:20:00,83.4000,83.4000,81.7000
2026-04-17 23:30:00,89.1000,90.8000,95.2000
2026-04-17 23:40:00,88.0000,89.3000,97.2000
2026-04-17 23:50:00,85.6000,78.9000,97.4000
2026-04-18 00:00:00,97.6000,97.9000,95.7000
2026-04-18 00:10:00,92.9000,97.1000,96.3000
2026-04-18 00:20:00,96.3000,91.7000,99.5000
2026-04-18 00:30:00,97.1000,90.1000,93.7000
2026-04-18 00:40:00,95.8000,100.0000,98.7000
2026-04-18 00:50:00,99.2000,96.8000,100.6000
2026-04-18 01:00:00,100.1000,103.0000,98.8000
2026-04-18 01:10:00,95.6000,95.9000,101.0000
2026-04-18 01:20:00,99.0000,95.1000,100.3000
2026-04-18 01:30:00,96.2000,98.9000,96.4000
2026-04-18 01:40:00,95.6000,92.6000,98.8000
2026-04-18 01:50:00,99.2000,97.2000,101.6000
2026-04-18 02:00:00,97.9000,94.3000,98.5000
2026-04-18 02:10:00,101.3000,99.9000,98.6000
2026-04-18 02:20:00,94.5000,98.7000,102.6000
2026-04-18 02:30:00,97.0000,101.0000,95.0000
2026-04-18 02:40:00,97.7000,95.2000,99.6000
2026-04-18 02:50:00,97.0000,97.0000,97.0000
2026-04-18 03:00:00,97.3000,95.8000,96.2000
2026-04-18 03:10:00,104.0000,108.6000,98.0000
2026-04-18 03:20:00,109.3000,109.2000,99.5000
2026-04-18 03:30:00,104.1000,106.7000,105.6000
2026-04-18 03:40:00,115.8000,112.3000,100.3000
2026-04-18 03:50:00,120.6000,130.2000,102.2000
2026-04-18 04:00:00,120.7000,129.7000,132.8000
2026-04-18 04:10:00,120.7000,127.5000,108.4000
2026-04-18 04:20:00,111.8000,104.4000,130.5000
2026-04-18 04:30:00,121.8000,122.0000,105.5000
2026-04-18 04:40:00,114.4000,119.9000,109.1000
2026-04-18 04:50:00,122.6000,114.0000,120.0000
2026-04-18 05:00:00,121.5000,132.2000,137.3000
2026-04-18 05:10:00,106.2000,112.4000,134.3000
2026-04-18 05:20:00,131.0000,130.8000,131.0000
