Tiempo,Rapidez de viento,Velocidad de viento media vectorial,Velocidad de rafaga
2026-04-17 16:30:00,5.4000,5.5000,6.4000
2026-04-17 16:40:00,4.8000,5.4000,7.3000
2026-04-17 16:50:00,5.6000,5.7000,7.6000
2026-04-17 17:00:00,4.8000,5.5000,6.8000
2026-04-17 17:10:00,4.8000,5.5000,6.4000
2026-04-17 17:20:00,5.2000,5.3000,6.4000
2026-04-17 17:30:00,4.9000,4.8000,6.5000
2026-04-17 17:40:00,4.7000,4.7000,6.6000
2026-04-17 17:50:00,4.4000,5.4000,6.5000
2026-04-17 18:00:00,4.5000,4.8000,6.3000
2026-04-17 18:10:00,4.4000,4.6000,6.4000
2026-04-17 18:20:00,5.5000,5.0000,6.7000
2026-04-17 18:30:00,4.7000,5.1000,6.5000
2026-04-17 18:40:00,4.6000,5.1000,6.5000
2026-04-17 18:50:00,6.6000,5.9000,7.1000
2026-04-17 19:00:00,5.4000,4.9000,7.8000
2026-04-17 19:10:00,5.9000,6.4000,7.3000
2026-04-17 19:20:00,5.2000,5.6000,6.9000
2026-04-17 19:30:00,4.7000,5.2000,6.7000
2026-04-17 19:40:00,5.6000,5.1000,7.0000
2026-04-17 19:50:00,6.4000,5.2000,6.9000
2026-04-17 20:00:00,6.0000,5.4000,6.5000
2026-04-17 20:10:00,4.9000,4.4000,6.2000
2026-04-17 20:20:00,5.3000,5.3000,6.5000
2026-04-17 20:30:00,5.3000,5.3000,6.9000
2026-04-17 20:40:00,5.2000,5.0000,6.6000
2026-04-17 20:50:00,4.2000,4.3000,6.3000
2026-04-17 21:00:00,3.7000,3.5000,4.6000
2026-04-17 21:10:00,3.5000,3.7000,4.2000
2026-04-17 21:20:00,4.3000,4.9000,6.3000
2026-04-17 21:30:00,5.2000,5.0000,6.4000
2026-04-17 21:40:00,4.9000,5.8000,7.2000
2026-04-17 21:50:00,6.1000,5.2000,6.9000
2026-04-17 22:00:00,5.6000,5.6000,6.5000
2026-04-17 22:10:00,6.0000,6.4000,7.8000
2026-04-17 22:20:00,6.9000,6.7000,8.4000
2026-04-17 22:30:00,7.2000,7.3000,8.9000
2026-04-17 22:40:00,6.9000,6.4000,8.9000
2026-04-17 22:50:00,7.5000,6.3000,8.2000
2026-04-17 23:00:00,6.3000,6.7000,8.0000
2026-04-17 23:10:00,6.0000,6.1000,8.3000
2026-04-17 23:20:00,6.0000,6.6000,8.5000
2026-04-17 23:30:00,7.1000,7.5000,8.9000
2026-04-17 23:40:00,8.3000,6.8000,9.2000
2026-04-17 23:50:00,6.7000,7.2000,8.8000
2026-04-18 00:00:00,7.6000,6.9000,8.7000
2026-04-18 00:10:00,5.7000,6.3000,8.9000
2026-04-18 00:20:00,6.8000,7.1000,8.7000
2026-04-18 00:30:00,6.9000,6.5000,9.6000
2026-04-18 00:40:00,6.7000,7.5000,8.9000
2026-04-18 00:50:00,6.8000,6.7000,8.7000
2026-04-18 01:00:00,5.8000,6.3000,8.6000
2026-04-18 01:10:00,6.3000,6.6000,8.3000
2026-04-18 01:20:00,7.9000,6.4000,8.9000
2026-04-18 01:30:00,7.2000,7.4000,8.8000
2026-04-18 01:40:00,6.8000,7.6000,9.5000
2026-04-18 01:50:00,8.0000,8.2000,9.6000
2026-04-18 02:00:00,7.4000,7.6000,9.8000
2026-04-18 02:10:00,7.7000,7.4000,9.3000
2026-04-18 02:20:00,8.1000,7.5000,9.1000
2026-04-18 02:30:00,7.3000,7.5000,9.3000
2026-04-18 02:40:00,7.5000,7.1000,8.8000
2026-04-18 02:50:00,7.1000,6.9000,8.7000
2026-04-18 03:00:00,5.7000,6.8000,8.5000
2026-04-18 03:10:00,7.1000,6.5000,7.8000
2026-04-18 03:20:00,6.0000,6.6000,8.1000
2026-04-18 03:30:00,5.9000,5.6000,7.6000
2026-04-18 03:40:00,5.3000,5.2000,6.9000
2026-04-18 03:50:00,5.2000,4.4000,6.5000
2026-04-18 04:00:00,4.4000,4.3000,5.6000
2026-04-18 04:10:00,4.6000,4.4000,5.8000
2026-04-18 04:20:00,3.9000,3.8000,5.9000
2026-04-18 04:30:00,3.8000,3.4000,5.1000
2026-04-18 04:40:00,3.4000,3.4000,5.2000
2026-04-18 04:50:00,4.4000,3.5000,4.9000
2026-04-18 05:00:00,3.7000,3.3000,5.2000
2026-04-18 05:10:00,3.1000,3.6000,4.8000
2026-04-18 05:20:00,3.7000,3.5000,4.6000
2026-04-18 05:30:00,3.0000,3.1000,5.0000
2026-04-18 05:40:00,3.3000,3.4000,4.2000
2026-04-18 05:50:00,2.4000,2.6000,4.1000
2026-04-18 06:00:00,3.2000,3.0000,4.4000
2026-04-18 06:10:00,3.3000,3.8000,4.9000
2026-04-18 06:20:00,2.7000,3.2000,4.4000
2026-04-18 06:30:00,3.2000,3.5000,4.2000
2026-04-18 06:40:00,2.8000,2.7000,4.0000
2026-04-18 06:50:00,1.0000,1.9000,5.0000
2026-04-18 07:00:00,2.1000,2.1000,3.3000
